+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|  Город/День |                      | 2022-05-26 | 2022-05-27 | 2022-05-28 | 2022-05-29 | 2022-05-30 | Среднее | Рейтинг |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|    LONDON   | Температура, среднее |   17.364   |   16.273   |   14.636   |    None    |    None    |   16.1  |    10   |
|             |  Без осадков, часов  |     11     |     11     |     11     |     0      |     0      |   11.0  |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|    MOSCOW   | Температура, среднее |   17.727   |   13.091   |   12.182   |    12.0    |    None    |   13.8  |    12   |
|             |  Без осадков, часов  |     7      |     0      |     0      |     1      |     0      |   2.0   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|    BERLIN   | Температура, среднее |   19.273   |    16.0    |   13.636   |    None    |    None    |   16.3  |    9    |
|             |  Без осадков, часов  |     9      |     6      |     0      |     0      |     0      |   5.0   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|    PARIS    | Температура, среднее |   17.636   |   17.364   |    17.0    |    None    |    None    |   17.3  |    8    |
|             |  Без осадков, часов  |     9      |     11     |     11     |     0      |     0      |   10.3  |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|   BEIJING   | Температура, среднее |   31.818   |   32.727   |   33.818   |   28.167   |    None    |   31.6  |    3    |
|             |  Без осадков, часов  |     11     |     11     |     11     |     6      |     0      |   9.8   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|    KAZAN    | Температура, среднее |   12.545   |   13.727   |   14.727   |    14.0    |    None    |   13.7  |    13   |
|             |  Без осадков, часов  |     6      |     0      |     3      |     1      |     0      |   2.5   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
| SPETERSBURG | Температура, среднее |   12.182   |   11.818   |   11.636   |    12.0    |    None    |   11.9  |    15   |
|             |  Без осадков, часов  |     3      |     0      |     0      |     1      |     0      |   1.0   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|  VOLGOGRAD  | Температура, среднее |   22.091   |   21.909   |   25.636   |    25.0    |    None    |   23.7  |    6    |
|             |  Без осадков, часов  |     11     |     11     |     11     |     1      |     0      |   8.5   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
| KALININGRAD | Температура, среднее |   15.364   |   12.818   |   11.636   |    None    |    None    |   13.3  |    14   |
|             |  Без осадков, часов  |     9      |     2      |     1      |     0      |     0      |   4.0   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
| NOVOSIBIRSK | Температура, среднее |   24.909   |   22.455   |   23.273   |    22.2    |    None    |   23.2  |    7    |
|             |  Без осадков, часов  |     11     |     11     |     11     |     5      |     0      |   9.5   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|   ABUDHABI  | Температура, среднее |   34.818   |   34.455   |   33.818   |    34.0    |    None    |   34.3  |    1    |
|             |  Без осадков, часов  |     11     |     11     |     11     |     2      |     0      |   8.8   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|   WARSZAWA  | Температура, среднее |   19.636   |    14.0    |   12.818   |    None    |    None    |   15.5  |    11   |
|             |  Без осадков, часов  |     11     |     3      |     0      |     0      |     0      |   4.7   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|     ROMA    | Температура, среднее |    29.0    |   29.273   |   25.545   |    None    |    None    |   27.9  |    4    |
|             |  Без осадков, часов  |     11     |     11     |     11     |     0      |     0      |   11.0  |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|  BUCHAREST  | Температура, среднее |   27.455   |   26.091   |   27.818   |    18.0    |    None    |   24.8  |    5    |
|             |  Без осадков, часов  |     11     |     11     |     11     |     1      |     0      |   8.5   |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
|    CAIRO    | Температура, среднее |   32.545   |   33.182   |   34.455   |    None    |    None    |   33.4  |    2    |
|             |  Без осадков, часов  |     11     |     11     |     11     |     0      |     0      |   11.0  |         |
+-------------+----------------------+------------+------------+------------+------------+------------+---------+---------+
